"#","Class Name","Schedule","Program","Gender","Age Range","Max Enroll","Current Enroll","Openings","Trials","Make Ups","Price"
"161","Swim_Cls_Sun1:45pm_GLD","Su  - 01:45 PM - 02:30 PM","Swim Classes","C","6 - 12","8","0","8","0","0","$ 226.00"
"162","Swim_Cls_Sun1:45pm_CRL2/3","Su  - 01:45 PM - 02:30 PM","Swim Classes","C","4 - 11","6","0","6","0","0","$ 226.00"
"163","Swim_Cls_Sun1:00pm_CRL2/3","Su  - 01:00 PM - 01:45 PM","Swim Classes","C","4 - 11","6","0","6","0","0","$ 226.00"
"164","Swim_Cls_Sun1:00pm_ADT","Su  - 01:00 PM - 02:00 PM","Swim Classes","C","8 - 17","14","1","13","0","0","$ 248.00"
"165","Swim_Cls_Sun11:30am_PRE-BUB","Su  - 11:30 AM - 12:00 PM","Swim Classes","C","3 - 4","4","0","4","0","0","$ 226.00"
"166","Swim_Cls_Sun11:30am_BUB","Su  - 11:30 AM - 12:00 PM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"167","Swim_Cls_Sun11:30am_BUB","Su  - 11:30 AM - 12:00 PM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"168","Swim_Cls_Sun11:15am_GLD1/2","Su  - 11:15 AM - 12:00 PM","Swim Classes","C","6 - 12","8","0","8","0","0","$ 226.00"
"169","Swim_Cls_Sun11:15am_CRL1","Su  - 11:15 AM - 12:00 PM","Swim Classes","C","4 - 11","6","0","6","0","0","$ 226.00"
"170","Swim_Cls_Sun11:15am_CRL","Su  - 11:15 AM - 12:00 PM","Swim Classes","C","4 - 11","6","0","6","0","0","$ 226.00"
"171","Swim_Cls_Sun11:00am_SPR/RCR","Su  - 11:00 AM - 12:00 PM","Swim Classes","C","6 - 17","14","0","14","0","0","$ 248.00"
"172","Swim_Cls_Sun11:00am_PRE-BUB","Su  - 11:00 AM - 11:30 AM","Swim Classes","C","3 - 4","4","0","4","0","0","$ 226.00"
"173","Swim_Cls_Sun11:00am_PRE-BUB","Su  - 11:00 AM - 11:30 AM","Swim Classes","C","3 - 4","4","0","4","0","0","$ 226.00"
"174","Swim_Cls_Sun11:00am_CHL/MST","Su  - 11:00 AM - 12:00 PM","Swim Classes","C","6 - 17","14","0","14","0","0","$ 248.00"
"175","Swim_Cls_Sun11:00am_BUB","Su  - 11:00 AM - 11:30 AM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"176","Swim_Cls_Sun10:30am_GLD","Su  - 10:30 AM - 11:15 AM","Swim Classes","C","6 - 12","8","0","8","0","0","$ 226.00"
"177","Swim_Cls_Sun10:30am_GLD","Su  - 10:30 AM - 11:15 AM","Swim Classes","C","6 - 12","8","0","8","0","0","$ 226.00"
"178","Swim_Cls_Sun10:30am_CRL1/2","Su  - 10:30 AM - 11:15 AM","Swim Classes","C","4 - 11","6","0","6","0","0","$ 226.00"
"179","Swim_Cls_Sun10:30am_BUB2/3","Su  - 10:30 AM - 11:00 AM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"180","Swim_Cls_Sun10:30am_BUB","Su  - 10:30 AM - 11:00 AM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"181","Swim_Cls_Sun10:00am_SPR/RCR","Su  - 10:00 AM - 11:00 AM","Swim Classes","C","6 - 17","14","0","14","0","0","$ 248.00"
"182","Swim_Cls_Sun10:00am_SPR/RCR","Su  - 10:00 AM - 11:00 AM","Swim Classes","C","6 - 17","14","0","14","0","0","$ 248.00"
"183","Swim_Cls_Sun10:00am_CHL/MST","Su  - 10:00 AM - 11:00 AM","Swim Classes","C","6 - 17","14","0","14","0","0","$ 248.00"
"184","Swim_Cls_Sun10:00am_BUB1","Su  - 10:00 AM - 10:30 AM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"185","Swim_Cls_Sun10:00am_BUB","Su  - 10:00 AM - 10:30 AM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"186","Swim_Cls_Sat9:45am_CRL","Sa  - 09:45 AM - 10:30 AM","Swim Classes","C","4 - 11","6","1","5","0","0","$ 226.00"
"187","Swim_Cls_Sat9:45am_CRL","Sa  - 09:45 AM - 10:30 AM","Swim Classes","C","4 - 11","6","0","6","0","0","$ 226.00"
"188","Swim_Cls_Sat9:30am_BUB1","Sa  - 09:00 AM - 09:30 AM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"189","Swim_Cls_Sat9:30am_BUB1","Sa  - 09:30 AM - 10:00 AM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"190","Swim_Cls_Sat9:30am_BUB","Sa  - 09:30 AM - 10:00 AM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"191","Swim_Cls_Sat9:00am_SPR/RCR","Sa  - 09:00 AM - 10:00 AM","Swim Classes","C","6 - 17","14","0","14","0","0","$ 248.00"
"192","Swim_Cls_Sat9:00am_SPR/RCR","Sa  - 09:00 AM - 10:00 AM","Swim Classes","C","6 - 17","14","0","14","0","0","$ 248.00"
"193","Swim_Cls_Sat9:00am_GLD","Sa  - 09:00 AM - 09:45 AM","Swim Classes","C","6 - 12","8","0","8","0","0","$ 226.00"
"194","Swim_Cls_Sat9:00am_CRL","Sa  - 09:00 AM - 09:45 AM","Swim Classes","C","4 - 11","6","0","6","0","0","$ 226.00"
"195","Swim_Cls_Sat9:00am_CHL/MST","Sa  - 09:00 AM - 10:00 AM","Swim Classes","C","6 - 17","14","0","14","0","0","$ 248.00"
"196","Swim_Cls_Sat9:00am_BUB2/3","Sa  - 09:00 AM - 09:30 AM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"197","Swim_Cls_Sat9:00am_BUB","Sa  - 09:00 AM - 09:30 AM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
"198","Swim_Cls_Sat4:30pm_BUB1/2","Sa  - 04:30 PM - 05:00 PM","Swim Classes","C","4 - 10","4","0","4","0","0","$ 226.00"
